Phi,Theta,E_deloc
25,130,3.0207258535720753
25,140,2.5241853866620123
25,150,2.24006788602107
25,160,2.134764031408491
25,170,2.102253982592751
25,180,2.0219227901870047
25,190,1.8795756995340889
25,200,1.7938534522621463
25,210,1.8837849671278182
25,220,2.2566282244292366
25,230,2.8850362568103183
25,240,3.6657237803219123
25,250,4.438948904470473
25,260,5.036560551619533
25,270,5.298499060825415
25,280,5.144528558404339
25,290,4.60132834177795
25,300,3.756552194104003
25,310,2.8151803234835406
25,320,1.9772951662124543
25,330,1.4393711709489625
25,340,1.269038810059084
25,350,1.3595342674914095
30,0,1.9265441204882332
30,10,1.9114204009446063
30,20,1.7816138263241001
30,30,1.7204839077673597
30,40,1.8971455748170951
30,50,2.309801768568611
30,60,2.900551981560758
30,70,3.544401253105867
30,80,4.110032280805113
30,90,4.481540261872505
30,100,4.5334434767005485
30,110,4.262931625847507
30,120,3.740947049267963
30,130,3.1737682080868015
30,140,2.7336562365283785
30,150,2.5237391020726903
30,160,2.4943774540541903
30,170,2.514291703280015
30,180,2.445877408836688
30,190,2.272450675702347
30,200,2.1233867911861366
30,210,2.138077781218789
30,220,2.4444207723899196
30,230,3.031139177111908
30,240,3.8011929337054964
30,250,4.587467734269717
30,260,5.204403647157886
30,270,5.481499259375582
30,280,5.321467333522742
30,290,4.756043697494931
30,300,3.8828389450262764
30,310,2.93035301135722
30,320,2.119822791207346
30,330,1.65070697753037
30,340,1.572463946913098
30,350,1.750018183426836
