Phi,Theta,E_deloc
20,170,1.1493610464389212
20,180,1.0334891876697117
20,190,1.0097865411657072
20,200,1.1212751241379388
20,210,1.405371540528241
20,220,1.9104146293693076
20,230,2.5931164342957285
20,240,3.401178598902261
20,250,4.167114076030235
20,260,4.788254362336125
20,270,5.079618462022847
20,280,4.971178192792786
20,290,4.506509974618478
20,300,3.7984261208338976
20,310,3.029626127375092
20,320,2.3049707020624948
20,330,1.711376555616053
20,340,1.2336356931269201
20,350,0.9315238071454255
25,0,1.1186924225715407
25,10,1.2721737819062373
25,20,1.578665430070974
25,30,1.9142670324593152
25,40,2.2503994447758546
25,50,2.5952276881141207
25,60,3.0249708263071295
25,70,3.478847019412694
25,80,3.904651848043831
25,90,4.167903105892056
25,100,4.167488636157689
25,110,3.8765271458684767
25,120,3.347101253891181
25,130,2.7470167817242412
25,140,2.1940252910147797
25,150,1.8142614879206285
25,160,1.5548261121824063
25,170,1.4140288427906844
25,180,1.3104982039904813
25,190,1.279189269748301
25,200,1.3655745433230442
25,210,1.616704209597829
25,220,2.09123567714681
25,230,2.755640638025085
25,240,3.56219075678444
25,250,4.3418110756971355
25,260,4.9779064697495885
25,270,5.282319368661309
25,280,5.177380536653898
25,290,4.701279418027094
25,300,3.9671766569859526
25,310,3.177253455520177
25,320,2.4471410864517473
25,330,1.8710491069557151
25,340,1.4309242717415127
25,350,1.1779759589397827
30,0,1.4858399062633698
30,10,1.6950424964436506
30,20,2.027296840281321
30,30,2.3401125240426315
30,40,2.6065398561415942
30,50,2.8575807926119148
30,60,3.199778769761675
30,70,3.593420624587344
30,80,3.9877999282380965
30,90,4.244769632884888
30,100,4.253326408355499
30,110,3.9723637715863944
30,120,3.4549685446917633
30,130,2.8717508874820044
30,140,2.358758577293947
30,150,2.034909591094094
30,160,1.836163246014834
30,170,1.7399025499761334
30,180,1.652074633342943
30,190,1.6068195626493726
30,200,1.6564847036906076
30,210,1.860661824906661
30,220,2.2915278907074805
30,230,2.928644241378793
30,240,3.7321481180954597
30,250,4.528486783022688
30,260,5.185348960029795
30,270,5.504752358506258
30,280,5.401655641728343
30,290,4.9098665476681145
30,300,4.144983904507369
30,310,3.3328647687573527
30,320,2.6004082771465513
30,330,2.050779105615209
30,340,1.6605911225340069
30,350,1.4730645134423448
