Phi,Theta,E_deloc,E_nonbond,E_hyd,E_tot,E_meth,norm_E_meth,new_E_nb,new_E_deloc
255,40,40,1.0520275578003293,-1571.7063566421002,-1571.6997677198,-1570.6543290843,0.006588922300011291,0.004263759699938419,-1571.7040314795,1.049702395200029
157,50,40,1.0509744151997893,-1571.6817178864999,-1571.6714981489,-1570.6307434713,0.010219737600095868,0.0037153916999841385,-1571.6752135406,1.044470069299905
343,60,40,1.0492982092000602,-1571.6469881109,-1571.6320795756,-1570.5976899017,0.014908535299923642,0.00312263779994737,-1571.6352022134001,1.037512311700084
232,0,50,1.0566172603000723,-1571.7485269384001,-1571.7453365829,-1570.6919096781,0.0031903554998962136,0.0025799799999504103,-1571.7479165629002,1.0560068848001265
89,5,50,1.056055410899944,-1571.7472112781,-1571.7444363937,-1570.6911558672,0.002774884399968869,0.0021680099999912272,-1571.7466044037,1.05544853650008
132,10,50,1.0566488544000094,-1571.7460954438,-1571.7424227999,-1570.6894465894,0.003672643900017647,0.0019490886999165014,-1571.7443718885997,1.0549252991997946
10,15,50,1.0570445279997784,-1571.7438206040997,-1571.7392727353,-1570.6867760761,0.0045478687999320755,0.0019405460999450952,-1571.7412132813997,1.0544372052997915
190,20,50,1.0572704906001036,-1571.7404021419002,-1571.7349517114,-1570.6831316513,0.005450430499990944,0.0021231670999668495,-1571.7370748785002,1.0539432272000795
314,25,50,1.0572390563002045,-1571.7357116359003,-1571.7293919348,-1570.6784725796,0.006319701100096609,0.0024174812999717687,-1571.7318094161,1.053336836499966
67,30,50,1.0569986161999623,-1571.7297215547999,-1571.7224904106,-1570.6727229386,0.00723114419997728,0.002726563899955181,-1571.7252169744997,1.0524940358998265
279,40,50,1.0559683269000288,-1571.7134410147,-1571.7040662518,-1570.6574726878,0.009374762899938105,0.002925814799937143,-1571.7069920666,1.0495193787999142
173,50,50,1.0558057282999016,-1571.6915104835,-1571.6777478016,-1570.6357047552,0.01376268190006158,0.0029059503999633307,-1571.680653752,1.0449489967998034
347,60,50,1.0552977057002408,-1571.6587524246002,-1571.6392618151,-1570.6034547189,0.019490609499939637,0.0026465524999821355,-1571.6419083676,1.0384536487001697
246,0,60,1.0584743397000693,-1571.7500502059002,-1571.7461501031,-1570.6915758662,0.003900102800002969,0.0021988914999155895,-1571.7483489945998,1.0567731283997546
77,5,60,1.0580380818998947,-1571.7488223265,-1571.7451536087,-1570.6907842446,0.003668717799996557,0.0016866769000216664,-1571.7468402856002,1.0560560410001472
125,10,60,1.0587702761001765,-1571.7478696028002,-1571.7431290795,-1570.6890993267,0.004740523300029054,0.0012456755999892266,-1571.7443747551001,1.0552754284001367
17,15,60,1.0593208100999618,-1571.7458401995,-1571.7400587883,-1570.6865193894,0.005781411200018738,0.0009828237999727207,-1571.7410416121002,1.0545222227001432
191,20,60,1.0597200535000866,-1571.7427505517,-1571.7359078359,-1570.6830304982,0.006842715800075894,0.0009302088000140429,-1571.7368380447,1.0538075465001384
304,25,60,1.0598863157999858,-1571.7384848878,-1571.7306194213,-1570.678598572,0.007865466500106777,0.001062885000010283,-1571.7316823063,1.0530837342998893
49,30,60,1.059869025199987,-1571.7330025681,-1571.7240750463,-1570.6731335429,0.008927521799932947,0.0012657269999181153,-1571.7253407732999,1.052207230399972
283,40,60,1.059370710299845,-1571.7178066503998,-1571.7064230206,-1570.6584359401,0.011383629799979644,0.001387049299978571,-1571.7078100699,1.0493741298000714
145,50,60,1.0599069565000718,-1571.6963548642,-1571.6802055314,-1570.6364479077,0.016149332800068805,0.0013355910999734988,-1571.6815411224998,1.0450932147998628
352,60,60,1.0604175277999275,-1571.6608452598,-1571.6384291216,-1570.600427732,0.022416138200014757,0.0010791805999588178,-1571.6395083021998,1.0390805701997579
244,0,70,1.0600108582000303,-1571.7510694723,-1571.7465475022,-1570.6910586141,0.00452197009997235,0.0006862118999606537,-1571.7472337140998,1.0561750999997912
91,5,70,1.0596640174999266,-1571.7498968467999,-1571.7455239281,-1570.6902328293,0.004372918699914408,0.00028183730000819196,-1571.7458057654,1.055572936100134
138,10,70,1.0604926997998518,-1571.7490542058,-1571.743539263,-1570.688561506,0.005514942800004974,0.0,-1571.743539263,1.0549777569999605
12,15,70,1.061144540199848,-1571.7471924436,-1571.7405809815,-1570.6860479034,0.006611462099954224,3.1333800052379956e-05,-1571.7406123153,1.0545644118999462
207,20,70,1.0616469903000052,-1571.7443251227,-1571.7366142177,-1570.6826781324,0.007710905000067214,0.000492972200049735,-1571.7371071899001,1.0544290575001014
296,25,70,1.0619151886000964,-1571.7402966576,-1571.7315440101,-1570.678381469,0.008752647500045896,0.0013560113000039564,-1571.7329000214,1.0545185523999407
44,30,70,1.0619972666002013,-1571.7350338149001,-1571.7252218348,-1570.6730365483,0.009811980100039364,0.002474878899988653,-1571.7276967137,1.054660165400037
267,40,70,1.0616912131001754,-1571.7201582273,-1571.7079629934,-1570.6584670142,0.012195233900001767,0.003672643900017647,-1571.7116356373,1.0531686231001913
150,50,70,1.0623830076003742,-1571.6978866581003,-1571.681078193,-1570.6355036505,0.016808465100098147,0.004740523300029054,-1571.6858187163002,1.050315065800305
351,60,70,1.0629998678000447,-1571.6574081935,-1571.6345236175,-1570.5944083257,0.022884576000024026,0.005514942800004974,-1571.6400385603001,1.0456302346001394
249,0,80,1.06097514399994,-1571.7516751607,-1571.7467173248,-1570.6907000167,0.0049578358999724514,0.005898877300069216,-1571.7526162021002,1.0619161854001504
86,5,80,1.0606762984998568,-1571.7505498026999,-1571.7457606788,-1570.6898735042,0.004789123899968217,0.005897055400055251,-1571.7516577342,1.0617842300000575
116,10,80,1.0615459599998758,-1571.7497765536,-1571.7438776763,-1570.6882305936,0.005898877300069216,0.005580319300065639,-1571.7494579956,1.0612274019999859
19,15,80,1.0622318212999744,-1571.7480014897,-1571.7410566867,-1570.6857696684,0.0069448030000103245,0.005094167600077526,-1571.7461508543001,1.0603811859000416
214,20,80,1.0627620617999582,-1571.7452292563,-1571.737260823,-1570.6824671945,0.007968433299993194,0.004564141400010158,-1571.7418249644002,1.059357769900089
294,25,80,1.0630500551999376,-1571.7412902935998,-1571.7323876924,-1570.6782402384,0.008902601200020399,0.004076788900079009,-1571.7364644813001,1.0582242429002235
71,30,80,1.0631371931999638,-1571.7361257649,-1571.7263104705,-1570.6729885717,0.009815294400027597,0.0037009515000363535,-1571.7300114220002,1.0570228503002
278,40,80,1.062752164299809,-1571.7212569393998,-1571.7094941248,-1570.6585047751,0.011762814599933336,0.0034764027000164788,-1571.7129705275,1.0544657523998922
156,50,80,1.0631608922001305,-1571.6982754337,-1571.6825586839,-1570.6351145415,0.015716749800049,0.003418817900069371,-1571.6859775018002,1.0508629603002646
326,60,80,1.0629678710999997,-1571.6538601049,-1571.6329734336,-1570.5908922338,0.020886671299990667,0.003505324199977622,-1571.6364787578,1.045586523999873
241,0,90,1.061329043599926,-1571.7519603447,-1571.7468169147,-1570.6906313011,0.005143429999975524,0.0036919825000722994,-1571.7505088972002,1.0598775961002502
105,5,90,1.061041552800134,-1571.7508148061002,-1571.7459282508,-1570.6897732533,0.004886555300004147,0.0038953059000732537,-1571.7498235567,1.0600503033999757
121,10,90,1.0619126358001267,-1571.7500187789,-1571.7441217235,-1570.6881061431,0.005897055400055251,0.0040320803000213346,-1571.7481538038,1.0600476607000928
21,15,90,1.0625895089997357,-1571.7482289845998,-1571.7414053972,-1570.6856394756,0.0068235873999356045,0.0040057418000287726,-1571.745411139,1.0597716633999426
205,20,90,1.0630970371000785,-1571.745438502,-1571.7377404235,-1570.6823414649,0.0076980784999705065,0.00374293690003924,-1571.7414833604003,1.059141895500261
313,25,90,1.063343101899818,-1571.74145977,-1571.7330146103,-1570.6781166681,0.008445159700045224,0.003259489000015492,-1571.7362740992999,1.0581574311997883
55,30,90,1.0633636934996957,-1571.7362110897998,-1571.7270866856,-1570.6728473963,0.009124404199951641,0.0026357218000612193,-1571.7297224074,1.056875011099919
254,40,90,1.0627655401999618,-1571.7212083083,-1571.7107886973,-1570.6584427681,0.010419610999974793,0.0020129345999748693,-1571.7128016318998,1.0543588637997345
153,50,90,1.0627713526000662,-1571.6977922327,-1571.6843939533,-1570.6350208801,0.013398279400007596,0.0015301203000035457,-1571.6859240736,1.0509031935000621
348,60,90,1.0617944524997256,-1571.6518140480998,-1571.6346280234,-1570.5900195956,0.017186024699981317,0.0012854753999818058,-1571.6359134988,1.0458939031998398
239,0,100,1.061048608999954,-1571.7514602448,-1571.7464152871,-1570.6904116358,0.00504495769996538,0.0012876484000798882,-1571.7477029355,1.0572912996999548
84,5,100,1.0607489791998432,-1571.7501915010998,-1571.7455082737,-1570.6894425219,0.0046832273999370955,0.0014848732000700693,-1571.7469931469,1.0575506249999762
117,10,100,1.061605439799905,-1571.7492599948,-1571.7436796755,-1570.687654555,0.005580319300065639,0.0017308504000084213,-1571.7454105259,1.0577559708999615
18,15,100,1.0622573397001815,-1571.7473055994,-1571.740927925,-1570.6850482597,0.0063776744000278995,0.001847811300081048,-1571.7427757363002,1.0577274766003484
202,20,100,1.0627224700001534,-1571.7443103945002,-1571.7372113332,-1570.6815879245,0.007099061299982168,0.0017353061000449088,-1571.7389466393001,1.0573587148001025
311,25,100,1.0629077875003077,-1571.7400918297003,-1571.7324336055,-1570.6771840422,0.007658224200099539,0.0013692644000684595,-1571.7338028699,1.0566188277000492
53,30,100,1.0628489131997867,-1571.7345557917997,-1571.7264534943,-1570.6717068786,0.00810229749993141,0.0008448075000160316,-1571.7272983018,1.055591423199985
260,40,100,1.0620128036998722,-1571.7188560246,-1571.7101190277,-1570.6568432209,0.008736996899983751,0.0003277949999755947,-1571.7104468227,1.0536036017999777
147,50,100,1.061643430800359,-1571.6945681729003,-1571.6838580205,-1570.6329247421,0.010710152400065454,0.0,-1571.6838580205,1.05093327840018
327,60,100,1.060257422099994,-1571.6485470027,-1571.6355354513,-1570.5882895806,0.013011551399927157,4.7319299937953474e-05,-1571.6355827706,1.0472931899998912
233,0,110,1.0602255093997428,-1571.7501529533997,-1571.7454631422,-1570.689927444,0.004689811199909855,0.0006443295000053695,-1571.7461074716998,1.0561800276998383
88,5,110,1.059908017600037,-1571.7485585788,-1571.7442948191,-1570.6886505612,0.004263759699938419,0.0017276938999657432,-1571.746022513,1.057371951800178
115,10,110,1.0607418690999566,-1571.747247756,-1571.7421535884,-1570.6865058869,0.005094167600077526,0.0031079335000185893,-1571.7452615219,1.0587556349998977
30,15,110,1.0613653382999928,-1571.7448456291,-1571.7390299063,-1570.6834802908,0.005815722799979994,0.0045478687999320755,-1571.7435777750998,1.0600974842998312
182,20,110,1.0617954722001741,-1571.7413298503002,-1571.7348859152,-1570.6795343781,0.006443935100037379,0.005781411200018738,-1571.7406673264,1.061132948299928
291,25,110,1.061934520900195,-1571.736502397,-1571.7296189993,-1570.6745678761,0.006883397700107707,0.006611462099954224,-1571.7362304614,1.0616625853001551
62,30,110,1.0618137679000483,-1571.7302644295,-1571.7230926356,-1570.6684506616,0.007171793899942713,0.0069448030000103245,-1571.7300374386,1.0615867770000023
263,40,110,1.060775293299912,-1571.7126256619,-1571.7052874129,-1570.6518503686,0.007338248999985808,0.0068235873999356045,-1571.7121110003,1.0602606316999754
144,50,110,1.0600797470999623,-1571.6858283249,-1571.6772903648,-1570.6257485778,0.008537960100056807,0.0063776744000278995,-1571.6836680392,1.0579194613999334
341,60,110,1.0583255428000484,-1571.6381527487001,-1571.6285490954,-1570.5798272059,0.009603653300018777,0.005815722799979994,-1571.6343648182,1.0545376123000096
229,0,120,1.0589974715001063,-1571.7474726337,-1571.7433465197,-1570.6884751622,0.004126113999973313,0.005301621599983264,-1571.7486481413,1.0601729791001162
78,5,120,1.0586599470998408,-1571.7452512242999,-1571.7415358326,-1570.6865912772,0.0037153916999841385,0.004921691399999872,-1571.746457524,1.059866246800084
137,10,120,1.059473403100128,-1571.7431804110001,-1571.7386162696,-1570.6837070079,0.004564141400010158,0.004720519199963746,-1571.7433367888,1.059629780899968
7,15,120,1.0600789483999051,-1571.7398682613,-1571.7345666397,-1570.6797893129,0.005301621599983264,0.0046925345999397905,-1571.7392591743,1.0594698613999753
192,20,120,1.0604962953998438,-1571.7352717160998,-1571.7293344065,-1570.6747754207,0.005937309599971741,0.004806720099963968,-1571.7341411265998,1.059365705899836
302,25,120,1.0606251710999004,-1571.7291681534998,-1571.7227990543,-1570.6685429824,0.006369099200014716,0.004999630999918736,-1571.7277986852998,1.059255702899918
69,30,120,1.060491677400023,-1571.7214414492,-1571.7148135751,-1570.6609497718,0.0066278740999905494,0.005199723799933054,-1571.7200132988999,1.0590635270998519
280,40,120,1.059384035900166,-1571.7000310542,-1571.6933975387,-1570.6406470183,0.006633515499970599,0.0053169272999866735,-1571.6987144660002,1.0580674477002958
175,50,120,1.0584862875998624,-1571.6683143548998,-1571.6608660025,-1570.6098280673,0.0074483524000470425,0.005280072999994445,-1571.6661460755,1.0563180081999235
332,60,120,1.05620058720001,-1571.6152912599,-1571.6075342918,-1570.5590906727,0.007756968100011363,0.005019385199943827,-1571.612553677,1.0534630043000561
224,0,130,1.057390108599975,-1571.7425670567,-1571.7391351265,-1570.6851769481,0.0034319301998948504,0.004497576599987951,-1571.7436327031,1.0584557550000682
74,5,130,1.057030906899854,-1571.7393056048,-1571.736182967,-1570.6822746979,0.00312263779994737,0.003768975100001626,-1571.7399519421,1.057677244200022
134,10,130,1.05782846399984,-1571.7359647389999,-1571.7318879501,-1570.678136275,0.004076788900079009,0.0029468115000099715,-1571.7348347615998,1.056698486599771
24,15,130,1.0584264640999663,-1571.7311112822,-1571.7261895908,-1570.6726848181,0.004921691399999872,0.002195085599964841,-1571.7283846763999,1.0556998582999313
196,20,130,1.0588459402001718,-1571.7246702203001,-1571.7190037969,-1570.6658242801,0.005666423400043641,0.0016613901999562586,-1571.7206651871002,1.054840907000198
299,25,130,1.0589888827000777,-1571.716413286,-1571.7102070914,-1570.6574244033,0.006206194600054005,0.001438535200009028,-1571.7116456265999,1.054221223299919
48,30,130,1.0588825889001328,-1571.706201889,-1571.6996342589,-1570.6473193001,0.0065676300999939485,0.0015139567000233,-1571.7011482156,1.0538289154999347
282,40,130,1.0578623434996643,-1571.6789228817997,-1571.6721879885,-1570.6210605383,0.006734893299949363,0.0018041260999552833,-1571.6739921146,1.0529315762998976
177,50,130,1.0570278905001942,-1571.6409343733003,-1571.6333449793,-1570.5839064828,0.007589394000092398,0.002128970599983404,-1571.6354739499002,1.0515674671000852
334,60,130,1.0545871253000314,-1571.5834600652001,-1571.5757699738,-1570.5288729399,0.007690091399922494,0.0022767411999211618,-1571.578046715,1.0491737750999164
217,0,140,1.0554722316996958,-1571.7348018541998,-1571.7320733088,-1570.6793296225,0.002728545399918403,0.002129184599994005,-1571.7342024934,1.0548728708999988
72,5,140,1.0550694392002242,-1571.7301180127001,-1571.7275380327,-1570.6750485735,0.0025799799999504103,0.001667283400024644,-1571.7292053161,1.054156742600071
118,10,140,1.0558223255002304,-1571.7250571558002,-1571.7213562043,-1570.6692348303,0.0037009515000363535,0.0010130096999318994,-1571.722369214,1.053134383700126
29,15,140,1.0563722463000431,-1571.7181421436,-1571.7134216244,-1570.6617698973,0.004720519199963746,0.0003763280000157465,-1571.7137979524,1.0520280550999814
184,20,140,1.05674163639992,-1571.7092665941,-1571.7036171684,-1570.6525249577,0.005649425699971289,0.0,-1571.7036171684,1.051092210699835
321,25,140,1.0568388798001251,-1571.6981990221002,-1571.6918163273,-1570.6413601423,0.006382694800095123,8.5857800058875e-05,-1571.6919021851002,1.050542042800089
63,30,140,1.0567023905998667,-1571.6848486952,-1571.6779031943,-1570.6281463046,0.006945500899973922,0.0008146663000161425,-1571.6787178606,1.0505715560000226
261,40,140,1.055707625299874,-1571.6509602693,-1571.6434336264,-1570.595252644,0.007526642899961189,0.0021210436000274058,-1571.6455546700001,1.050302026000054
152,50,140,1.0550084701999367,-1571.6086202771,-1571.5998431823,-1570.5536118069,0.00877709480005251,0.0037671183999918867,-1571.6036103007,1.049998493799876
350,60,140,1.0527084128000297,-1571.5555700102,-1571.5464079585,-1570.5028615974,0.00916205169994555,0.005450430499990944,-1571.5518583889998,1.0489967915998477
242,0,150,1.0531552794000163,-1571.7238768738,-1571.7217411823,-1570.6707215944,0.0021356914999159926,0.006842715800075894,-1571.7285838981002,1.0578623037001762
97,5,150,1.0526494209998418,-1571.7178531529999,-1571.715685143,-1570.665203732,0.0021680099999912272,0.007710905000067214,-1571.723396048,1.0581923160000315
111,10,150,1.0532793323000078,-1571.7112171522,-1571.7077407495,-1570.6579378199,0.0034764027000164788,0.007968433299993194,-1571.7157091828,1.0577713628999845
28,15,150,1.053684522499907,-1571.7024773013,-1571.6977847667,-1570.6487927788,0.0046925345999397905,0.0076980784999705065,-1571.7054828451999,1.056690066399824
210,20,150,1.053883487099938,-1571.691525452,-1571.6856942385,-1570.6376419649,0.005831213500073318,0.007099061299982168,-1571.6927932998,1.0551513349000743
301,25,150,1.0537766785000713,-1571.6781491806,-1571.6713583119,-1570.6243725021,0.006790868700022656,0.006443935100037379,-1571.6778022469998,1.0534297448998586
61,30,150,1.0533958838000217,-1571.6623274249,-1571.6547283971,-1570.6089315411,0.00759902779998356,0.005937309599971741,-1571.6606657067,1.0517341656000099
285,40,150,1.0518234067999401,-1571.6238079497,-1571.6150780941,-1570.5719845429,0.008729855599995062,0.005666423400043641,-1571.6207445175,1.0487599745999887
174,50,150,1.0506123032998858,-1571.5801945663,-1571.5695970911,-1570.529582263,0.010597475200029294,0.005649425699971289,-1571.5752465167998,1.045664253799714
336,60,150,1.0483385079999152,-1571.5342162017998,-1571.522603386,-1570.4858776938,0.01161281579993556,0.005831213500073318,-1571.5284345995,1.0425569057001667
247,0,160,1.0507608059999711,-1571.7113480522,-1571.7095849068,-1570.6605872462,0.0017631453999911173,0.006131971300078476,-1571.7157168781,1.0551296318999448
99,5,160,1.050149729499708,-1571.7050978306997,-1571.703148742,-1570.6549481012,0.0019490886999165014,0.00644577700006721,-1571.709594519,1.0546464177998587
123,10,160,1.0506452268002704,-1571.6982400605002,-1571.6948212426,-1570.6475948337,0.003418817900069371,0.006671030600045924,-1571.7014922732,1.0538974395001333
4,15,160,1.050883740199879,-1571.6893064588999,-1571.6844997388,-1570.6384227187,0.004806720099963968,0.006707913800028109,-1571.6912076526,1.0527849339000568
188,20,160,1.0508820113002457,-1571.6782148555003,-1571.6720828842,-1570.6273328442,0.006131971300078476,0.006495659700021861,-1571.6785785439001,1.0512456997000754
322,25,160,1.0505370357000174,-1571.6647730873,-1571.657475763,-1570.6142360516,0.007297324300111541,0.005990679200067461,-1571.6634664422002,1.049230390600087
56,30,160,1.049879770400139,-1571.6489632038001,-1571.6406285633,-1570.5990834334,0.008334640500038404,0.0051925952000146935,-1571.6458211585,1.0467377251000016
253,40,160,1.0476328699999158,-1571.6105000370999,-1571.6004913226,-1570.5628671671,0.010008714499917915,0.004197249900016686,-1571.6046885725,1.0418214054000146
154,50,160,1.0457793574000789,-1571.5663206077002,-1571.5537757948,-1570.5205412503,0.012544812900046054,0.003155462300014733,-1571.5569312571001,1.0363900068000476
342,60,160,1.0437559038998643,-1571.5195959083999,-1571.5052588217,-1570.4758400045,0.01433708669992484,0.002258953500017924,-1571.5075177752,1.031677770700071
228,0,170,1.0488092455000242,-1571.7008771285,-1571.699208332,-1570.652067883,0.0016687964999846372,0.0016696085000376115,-1571.7008779405,1.0488100575000772
100,5,170,1.0482189783997455,-1571.6964085016998,-1571.6944679556,-1570.6481895233,0.0019405460999450952,0.0014778088000184653,-1571.6959457644,1.0477562410999326
136,10,170,1.0487391274000402,-1571.6915866704,-1571.6880813462,-1570.642847543,0.003505324199977622,0.0016518787000450175,-1571.6897332249,1.0468856818999939
9,15,170,1.049013304599839,-1571.6849944122998,-1571.6799947813,-1570.6359811077,0.004999630999918736,0.0020709576000399466,-1571.6820657388998,1.0460846311998466
212,20,170,1.0490627932999814,-1571.6765854171,-1571.6701396401,-1570.6275226238,0.00644577700006721,0.002515051399996082,-1571.6726546915,1.045132067700024
298,25,170,1.04879003020028,-1571.6661807065002,-1571.6584306191,-1570.6173906763,0.007750087400040684,0.002732662500079641,-1571.6611632816002,1.043772605300319
